+------------------------+---------------------------------------------------------+----------+----------+----------+----------+----------+----------+
| Package Name           | File Name                                               | Type     | Blank    | JavaDoc  | Comment  | Code     | Total    |
+------------------------+---------------------------------------------------------+----------+----------+----------+----------+----------+----------+
| lang3.arch             | Processor.java                                          | src      |       23 |      104 |       16 |       48 |      191 |
| lang3.arch             | Processor_ESTest.java                                   | test     |       18 |        0 |        4 |      123 |      145 |
| lang3.arch             | Processor_ESTest_scaffolding.java                       | test     |       16 |        5 |        0 |       82 |      103 |
| lang3.arch             | package-info.java                                       | src      |        0 |        4 |       16 |        1 |       21 |
+------------------------+---------------------------------------------------------+----------+----------+----------+----------+----------+----------+
| lang3.builder          | Builder.java                                            | src      |        2 |       66 |       16 |        5 |       89 |
| lang3.builder          | CompareToBuilder.java                                   | src      |       39 |      541 |       30 |      421 |     1031 |
| lang3.builder          | CompareToBuilder_ESTest.java                            | test     |      197 |        0 |       57 |     1293 |     1547 |
| lang3.builder          | CompareToBuilder_ESTest_scaffolding.java                | test     |       16 |        5 |        0 |      106 |      127 |
| lang3.builder          | Diff.java                                               | src      |       10 |       61 |       16 |       30 |      117 |
| lang3.builder          | DiffBuilder.java                                        | src      |       92 |      410 |       19 |      462 |      983 |
| lang3.builder          | DiffBuilder_ESTest.java                                 | test     |      127 |        0 |      150 |      924 |     1201 |
| lang3.builder          | DiffBuilder_ESTest_scaffolding.java                     | test     |       16 |        5 |        0 |      223 |      244 |
| lang3.builder          | DiffResult.java                                         | src      |       20 |      121 |       16 |       63 |      220 |
| lang3.builder          | DiffResult_ESTest.java                                  | test     |        3 |        0 |        5 |       12 |       20 |
| lang3.builder          | DiffResult_ESTest_scaffolding.java                      | test     |       14 |        5 |        0 |       69 |       88 |
| lang3.builder          | Diff_ESTest.java                                        | test     |        3 |        0 |        5 |       12 |       20 |
| lang3.builder          | Diff_ESTest_scaffolding.java                            | test     |       14 |        5 |        0 |       67 |       86 |
| lang3.builder          | Diffable.java                                           | src      |        2 |       31 |       16 |        5 |       54 |
| lang3.builder          | EqualsBuilder.java                                      | src      |       58 |      548 |       56 |      483 |     1145 |
| lang3.builder          | EqualsBuilder_ESTest.java                               | test     |      204 |        0 |        4 |     1079 |     1287 |
| lang3.builder          | EqualsBuilder_ESTest_scaffolding.java                   | test     |       16 |        5 |        0 |      116 |      137 |
| lang3.builder          | EqualsExclude.java                                      | src      |        3 |        7 |       17 |        9 |       36 |
| lang3.builder          | HashCodeBuilder.java                                    | src      |       50 |      621 |       47 |      276 |      994 |
| lang3.builder          | HashCodeBuilder_ESTest.java                             | test     |       78 |        0 |       50 |      521 |      649 |
| lang3.builder          | HashCodeBuilder_ESTest_scaffolding.java                 | test     |       16 |        5 |        0 |      108 |      129 |
| lang3.builder          | HashCodeExclude.java                                    | src      |        3 |        7 |       17 |        9 |       36 |
| lang3.builder          | IDKey.java                                              | src      |        6 |       20 |       22 |       24 |       72 |
| lang3.builder          | IDKey_ESTest.java                                       | test     |        8 |        0 |        5 |       43 |       56 |
| lang3.builder          | IDKey_ESTest_scaffolding.java                           | test     |       16 |        5 |        0 |       78 |       99 |
| lang3.builder          | MultilineRecursiveToStringStyle.java                    | src      |       22 |       59 |       16 |      120 |      217 |
| lang3.builder          | MultilineRecursiveToStringStyle_ESTest.java             | test     |       77 |        0 |       53 |      343 |      473 |
| lang3.builder          | MultilineRecursiveToStringStyle_ESTest_scaffolding.java | test     |       16 |        5 |        0 |      115 |      136 |
| lang3.builder          | RecursiveToStringStyle.java                             | src      |        8 |       47 |       16 |       27 |       98 |
| lang3.builder          | ReflectionDiffBuilder.java                              | src      |       11 |       63 |       18 |       45 |      137 |
| lang3.builder          | ReflectionDiffBuilder_ESTest.java                       | test     |        9 |        0 |        8 |       57 |       74 |
| lang3.builder          | ReflectionDiffBuilder_ESTest_scaffolding.java           | test     |       16 |        5 |        0 |      200 |      221 |
| lang3.builder          | ReflectionToStringBuilder.java                          | src      |       42 |      585 |       28 |      193 |      848 |
| lang3.builder          | ReflectionToStringBuilder_ESTest.java                   | test     |      114 |        0 |      124 |     1075 |     1313 |
| lang3.builder          | ReflectionToStringBuilder_ESTest_scaffolding.java       | test     |       16 |        5 |        0 |      167 |      188 |
| lang3.builder          | StandardToStringStyle.java                              | src      |       65 |      290 |       37 |      166 |      558 |
| lang3.builder          | StandardToStringStyle_ESTest.java                       | test     |       43 |        0 |        4 |      268 |      315 |
| lang3.builder          | StandardToStringStyle_ESTest_scaffolding.java           | test     |       16 |        5 |        0 |      100 |      121 |
| lang3.builder          | ToStringBuilder.java                                    | src      |       90 |      677 |       39 |      271 |     1077 |
| lang3.builder          | ToStringExclude.java                                    | src      |        3 |        6 |       17 |        9 |       35 |
| lang3.builder          | ToStringStyle.java                                      | src      |      336 |     1232 |       76 |     1025 |     2669 |
| lang3.builder          | ToStringSummary.java                                    | src      |        3 |       11 |       17 |        9 |       40 |
| lang3.builder          | package-info.java                                       | src      |        0 |       16 |       16 |        1 |       33 |
+------------------------+---------------------------------------------------------+----------+----------+----------+----------+----------+----------+
| lang3.compare          | ComparableUtils.java                                    | src      |       22 |      111 |       16 |       59 |      208 |
| lang3.compare          | ComparableUtils_ESTest.java                             | test     |       27 |        0 |        4 |      151 |      182 |
| lang3.compare          | ComparableUtils_ESTest_scaffolding.java                 | test     |       16 |        5 |        0 |       80 |      101 |
| lang3.compare          | ObjectToStringComparator.java                           | src      |        6 |       15 |       17 |       31 |       69 |
| lang3.compare          | ObjectToStringComparator_ESTest.java                    | test     |        7 |        0 |        4 |       36 |       47 |
